Jahr_von;Zeit_von;Waermepumpe[in kWh];Elektroauto[Tagesnormiert];ELKW[Tagesnormiert]
04.01.2020;19:45:00;0,154257965;0,017175488;0,016666667
04.01.2020;20:00:00;0,155227707;0,016742549;0,016666667
04.01.2020;20:15:00;0,157481381;0,01618399;0,016666667
04.01.2020;20:30:00;0,159807825;0,015698785;0,016666667
04.01.2020;20:45:00;0,160378107;0,015279978;0,016666667
04.01.2020;21:00:00;0,161011522;0,014310913;0,016666667
04.01.2020;21:15:00;0,161270627;0,014213894;0,016666667
04.01.2020;21:30:00;0,162352746;0,014786065;0,016666667
04.01.2020;21:45:00;0,163446881;0,014368339;0,016666667
04.01.2020;22:00:00;0,162699874;0,013461859;0,016666667
04.01.2020;22:15:00;0,162808187;0,011558049;0,016666667
04.01.2020;22:30:00;0,161777745;0,011093706;0,016666667
04.01.2020;22:45:00;0,160577552;0,009757203;0,016666667
04.01.2020;23:00:00;0,158386532;0,009292321;0,016666667
04.01.2020;23:15:00;0,158678295;0,008360134;0,016666667
04.01.2020;23:30:00;0,158244934;0,008360134;0,016666667
04.01.2020;23:45:00;0,157490774;0,008360134;0,016666667
05.01.2020;00:00:00;0,161073369;0,007415295;0,016666667
05.01.2020;00:15:00;0,16111582;0,006954316;0,016666667
05.01.2020;00:30:00;0,161790721;0,006489973;0,016666667
05.01.2020;00:45:00;0,161604558;0,006046939;0,016666667
05.01.2020;01:00:00;0,161464613;0,005589121;0,016666667
05.01.2020;01:15:00;0,160700097;0,005211039;0,016666667
05.01.2020;01:30:00;0,16066372;0,00486948;0,016666667
05.01.2020;01:45:00;0,161341058;0,004399814;0,016666667
05.01.2020;02:00:00;0,161772543;0,004308046;0,016666667
05.01.2020;02:15:00;0,161704128;0,004232797;0,016666667
05.01.2020;02:30:00;0,161272836;0,004194255;0,016666667
05.01.2020;02:45:00;0,161656073;0,004194255;0,016666667
05.01.2020;03:00:00;0,162979879;0,004219949;0,016666667
05.01.2020;03:15:00;0,16467975;0,004150206;0,016666667
05.01.2020;03:30:00;0,164571246;0,004135523;0,016666667
05.01.2020;03:45:00;0,164206684;0,004227291;0,016666667
05.01.2020;04:00:00;0,164043327;0,004227291;0,016666667
